가맹점구분번호,가맹점주소,가맹점명,업종,상권,개설일,폐업일,프랜차이즈여부
16184E93D9,마장동,성우**,축산물,마장동,2013-03-20,,0
4D039EA8B7,마장동,대보**,축산물,마장동,2013-11-22,,0
0074C4990A,마장동,대용**,축산물,마장동,2014-05-12,,0
68308F2746,마장동,통일**,축산물,마장동,2015-11-24,,0
4117EDDE9C,마장동,한울**,축산물,마장동,2015-12-11,,0
281CA527F1,마장동,대광**,축산물,마장동,2017-02-22,,0
9A71D71270,마장동,미림**,식품 제조,마장동,2017-08-17,,0
761947ABD9,마장동,호남*,한식-육류/고기,마장동,2013-05-31,,0
145BA84596,사근동,고향***,한식-찌개/전골,한양대,2014-06-18,,0
27C88660A5,송정동,북*,중식당,송정동,2014-12-17,,0
BAACCE3A2C,용답동,좋은**,식료품,장한평자동차,2013-03-05,,0
BE3EAEA415,용답동,별난**,한식-국수/만두,답십리,2014-01-07,,0
01AAD3CFFA,행당동,행당**,식료품,왕십리,2016-05-13,,0
C3E6D8B14F,행당동,이혜*******,인삼제품,행당,2013-12-16,,0
E606947836,홍익동,정*,중식당,왕십리,2015-09-18,,0
E863289A7D,홍익동,조은**,한식-단품요리일반,왕십리,2015-01-16,,0
B584924DB0,행당1동,왕십****,식품 제조,왕십리,2014-08-28,,0
2344622681,도선동,광한******,한식-해물/생선,왕십리,2011-05-02,,0
3E35A71757,마장동,멕시*****,치킨,마장동,2005-08-30,,1
5017C6924A,마장동,도미********,피자,마장동,2010-07-23,,1
888828B4FB,마장동,현대**,식료품,마장동,2007-04-20,,0
06C463E9D9,마장동,청계**,식료품,마장동,2007-07-04,,0
5AEEA3B4EF,마장동,한양**,식료품,마장동,2010-10-08,,0
1400634946,마장동,한일**,중식당,마장동,2004-07-28,,0
3E61C339E2,마장동,세화**,축산물,마장동,2002-09-24,,0
B81D338DB6,마장동,대성**,축산물,마장동,2003-08-19,,1
8941E2A3A0,마장동,광*,축산물,마장동,2009-03-04,,0
D5CFCB32BA,마장동,희망**,축산물,마장동,2011-07-20,,0
319880C87E,마장동,한일**,축산물,마장동,2012-03-12,,0
A6277E8E47,마장동,세계**,축산물,마장동,2012-09-11,,0
57AEEDF72B,마장동,파리**********,베이커리,마장동,2011-01-12,,1
99730CC7C5,마장동,진*,요리주점,왕십리,2000-04-20,,0
1900B33A12,마장동,삼대**,한식-냉면,마장동,2008-10-08,,1
112C9E0C52,마장동,대구*,백반/가정식,마장동,2014-02-11,,0
87569153FF,마장동,원조***,한식-육류/고기,마장동,2005-02-01,,0
AC6B3827B8,마장동,훈희***,한식-육류/고기,마장동,2009-01-22,,0
8425C2D133,마장동,몽실******,한식-육류/고기,마장동,2011-05-06,,0
21C4BDD140,마장동,순대**,한식-국밥/설렁탕,마장동,2005-12-23,,0
11B0AA1C3B,마장동,동원**,한식-단품요리일반,왕십리,2001-10-22,,0
E6AE130DD5,마장로,마장*****,한식-육류/고기,왕십리,2011-11-09,,0
EE8D458B93,무학로,와이***********,축산물,왕십리,2012-11-09,,0
1F5C564B04,상원길,맛드*,반찬,뚝섬,2013-04-10,,0
69EE47A25B,상원길,피자********,피자,뚝섬,2012-12-31,,1
6E87D8EF74,상원길,담바*,한식-육류/고기,뚝섬,2014-03-18,,0
82F292A867,송정동,델리**,식료품,송정동,2009-09-04,,0
BDEBB09D4F,송정동,본토****,한식-육류/고기,송정동,2010-08-17,,0
9D085B6A2F,용답동,동부**,백반/가정식,장한평자동차,2011-03-29,,0
6D8F7BBA89,용답동,고향**,한식-단품요리일반,장한평자동차,2003-04-21,,0
5B646D947B,응봉동,풀무*********,식료품,응봉동,2012-06-08,,1
875116B12A,응봉동,단아**,떡/한과 제조,응봉동,2007-04-17,,0
21752D89FB,행당동,영*,건강식품,행당,2009-03-16,,0
80E637212D,행당동,에스******,커피전문점,행당,2011-08-08,,0
CEF3D93273,행당동,종로**,떡/한과 제조,행당,2006-10-26,,0
33361C935B,행당동,만두**,한식-국수/만두,행당,2010-11-12,,0
E1C897591D,행당동,코페*,한식-단품요리일반,한양대,2006-10-23,,0
1F7ECE7D49,행당동,아폴*********,한식-단품요리일반,왕십리,2011-01-05,,0
25D2E98F3A,행당동,무탁****,한식-단품요리일반,왕십리,2011-11-07,,0
66A39F4442,홍익동,정은****,한식-육류/고기,왕십리,2010-04-08,,0
3E96264C22,홍익동,맛나**,한식-찌개/전골,왕십리,2006-02-16,,0
C1C06DF70A,마조로 9,설빙****,아이스크림/빙수,한양대,2014-06-23,,1
8ABD74319E,무학로 8,70******,룸살롱/단란주점,왕십리,2015-11-16,,0
8749D150F3,상원6길,오가******,한식-해물/생선,뚝섬,2011-11-03,,0
5BE883AA16,옥수2동,극동*****,축산물,옥수,1994-11-28,,0
94C8165F35,옥수2동,전주*******,백반/가정식,옥수,1998-12-07,,0
ED815EC186,옥수2동,양지***,한식-육류/고기,옥수,2000-06-07,,0
FBDA2A8798,옥수2동,장군**,한식-육류/고기,옥수,2002-11-09,,0
147235F3A5,옥수2동,돈까*,일식-덮밥/돈가스,옥수,2007-03-14,,0
167F268F8E,행당1동,돔카*,카페,왕십리,2011-05-25,,0
7C3795DF2D,행당1동,한양***********,식료품,한양대,2009-03-11,,0
E9EB56D7EC,행당1동,한양***,한식-육류/고기,한양대,2010-07-19,,0
55B4F11C0E,행당2동,김밥**,분식,행당,2010-10-11,,0
C75AC23756,행당2동,대림****,축산물,행당,2000-06-27,,0
4DEDE7CD03,금호동2가,닭한*****,한식-육류/고기,신금호,2004-11-02,,0
8F1003CA95,금호동3가,귀일**,분식,금남시장,2016-03-15,,0
04BACBFB49,금호로 56,해장***,백반/가정식,금남시장,2007-01-25,,0
5946F40892,금호로 62,교촌******,치킨,금남시장,2013-03-25,,1
17FF425166,금호로 66,광주**,한식-해물/생선,금남시장,2002-07-08,,0
AB0716250B,동일로 83,와규**,한식-육류/고기,동일로,2008-05-15,,0
E9D4FB94A0,동일로 83,참나*****,한식-단품요리일반,동일로,2010-02-23,,0
149BA1B7C7,마조로 11,써브******,샌드위치/토스트,한양대,2002-01-21,,1
2AECA02B3A,마조로 17,대*,축산물,한양대,2002-04-30,,0
11A66B8033,마조로 17,돼지*,한식-육류/고기,한양대,2002-03-21,,0
CE3D519C06,마조로 17,장어**,한식-해물/생선,한양대,2009-06-17,,0
03A222EE9D,마조로 17,놀란*,한식-단품요리일반,한양대,2014-06-09,,0
946BE40BF1,마조로 25,토리********,일식당,한양대,2015-09-11,,0
B2378AFA3D,마조로 29,성일***,한식-감자탕,한양대,2010-02-17,,0
F512DF538E,마조로 31,맘스*******,햄버거,한양대,2015-08-31,,1
C2207433F7,마조로 33,한솥***********,도시락,한양대,2010-07-12,,1
9350A78BD7,마조로 33,동방***,꼬치구이,한양대,2014-07-21,,0
661C7C734C,마조로 35,크로*******,베이커리,한양대,2002-09-25,,0
43CE48A1CD,마조로 39,스마*,분식,한양대,2009-03-03,,0
0E2AE2C4F1,마조로 7.,철*,백반/가정식,한양대,2016-08-23,,0
7102ACD438,매봉길 2.,인덕***,양식,옥수,2018-01-17,,0
F80F79F599,매봉길 2.,파파*****,피자,옥수,2005-11-30,,1
FCBC740B1D,무학로 33,왕십**********,베이커리,왕십리,2016-04-19,,1
D427F7C6AB,무학로 42,벽산****,포장마차,왕십리,2009-12-02,,0
7D6F493369,상원6길 5,춘천***,한식-육류/고기,뚝섬,2000-03-18,,1
98BA99BFE9,상원8길 1,가든***,축산물,뚝섬,2009-07-17,,0
54529B6426,상원길 52,둘둘***********,치킨,뚝섬,2010-11-01,,1
3DD6585AD5,상원길 54,이흥***,한식-육류/고기,뚝섬,1999-02-05,,0
2B89D787CB,상원길 60,왕짜*,중식당,뚝섬,2018-12-05,,1
3B0F367222,성수동2가,맛닭******,치킨,성수,2000-09-06,,1
4208C4C0A7,성수동2가,삼오***,식품 제조,성수,2016-07-29,,0
838461E308,성수동2가,찐짜**,백반/가정식,성수,2015-08-24,,0
E8E75C90BA,성수동2가,20****,한식-해물/생선,성수,2009-08-04,,0
37FE3D6CC0,성수동2가,빙아********,아이스크림/빙수,성수,2023-04-21,,0
BEFB51F3ED,장터3길 8,뚱이***,한식-감자탕,금남시장,2015-04-07,,0
4349A8302A,장터길 23,롯데******,햄버거,금남시장,2015-08-12,2025-08-18,1
9AE54FE931,장터길 25,두레******,베이커리,금남시장,2008-03-25,,1
4EE6AA4F0F,장터길 30,먹거****,한식-육류/고기,금남시장,2011-03-03,,0
0D30BE35C0,장터길 37,온달***,한식-육류/고기,금남시장,2015-08-11,,0
99A8865F14,장터길 47,백미*,떡/한과 제조,금남시장,2001-12-29,,0
D0ECE18966,장터길 47,진미**,한식-육류/고기,금남시장,2007-02-14,,0
D333ECD384,장터길 49,은하*,룸살롱/단란주점,금남시장,2005-09-13,,0
C64FD46BFC,행당로 38,덕흥***,축산물,행당,2000-10-12,,0
A4369EE806,행당로 79,비타***,반찬,행당,2015-11-12,,0
3C97811992,무수막길,강정***,치킨,신금호,2009-10-29,,0
1527B8DFD5,무수막길,미스***,치킨,신금호,2012-10-23,,1
224AE94A24,상원12길,예*,백반/가정식,뚝섬,2012-10-22,,0
F1823DF685,금호로 151,포마***,분식,신금호,2010-06-24,,1
1361C9B25C,금호로 168,사와**,분식,신금호,2008-12-29,,0
0616E5FFD3,금호로 17.,마테****,양식,금남시장,2015-03-20,,0
F20A9C3F30,금호로 17.,해*,한식-육류/고기,금남시장,2012-04-02,,0
E014ED20D7,금호로 17.,유어***,한식-단품요리일반,금남시장,2013-10-16,,0
77E78C7C26,금호로 40.,금호**************,요리주점,금남시장,2016-12-02,,0
