가맹점구분번호,가맹점주소_세부,가맹점명,업종,상권,개설일,폐업일,프랜차이즈여부,가맹점주소
16184E93D9,마장동,성우**,축산물,마장동,2013-03-20,,0,마장동
4D039EA8B7,마장동,대보**,축산물,마장동,2013-11-22,,0,마장동
0074C4990A,마장동,대용**,축산물,마장동,2014-05-12,,0,마장동
68308F2746,마장동,통일**,축산물,마장동,2015-11-24,,0,마장동
4117EDDE9C,마장동,한울**,축산물,마장동,2015-12-11,,0,마장동
281CA527F1,마장동,대광**,축산물,마장동,2017-02-22,,0,마장동
9A71D71270,마장동,미림**,식품 제조,마장동,2017-08-17,,0,마장동
761947ABD9,마장동,호남*,한식-육류/고기,마장동,2013-05-31,,0,마장동
145BA84596,사근동,고향***,한식-찌개/전골,한양대,2014-06-18,,0,사근동
27C88660A5,송정동,북*,중식당,송정동,2014-12-17,,0,송정동
BAACCE3A2C,용답동,좋은**,식료품,장한평자동차,2013-03-05,,0,용답동
BE3EAEA415,용답동,별난**,한식-국수/만두,답십리,2014-01-07,,0,용답동
01AAD3CFFA,행당동,행당**,식료품,왕십리,2016-05-13,,0,행당동
C3E6D8B14F,행당동,이혜*******,인삼제품,행당,2013-12-16,,0,행당동
E606947836,홍익동,정*,중식당,왕십리,2015-09-18,,0,홍익동
E863289A7D,홍익동,조은**,한식-단품요리일반,왕십리,2015-01-16,,0,홍익동
B584924DB0,행당1동,왕십****,식품 제조,왕십리,2014-08-28,,0,행당
2344622681,도선동,광한******,한식-해물/생선,왕십리,2011-05-02,,0,도선동
3E35A71757,마장동,멕시*****,치킨,마장동,2005-08-30,,1,마장동
5017C6924A,마장동,도미********,피자,마장동,2010-07-23,,1,마장동
888828B4FB,마장동,현대**,식료품,마장동,2007-04-20,,0,마장동
06C463E9D9,마장동,청계**,식료품,마장동,2007-07-04,,0,마장동
5AEEA3B4EF,마장동,한양**,식료품,마장동,2010-10-08,,0,마장동
1400634946,마장동,한일**,중식당,마장동,2004-07-28,,0,마장동
3E61C339E2,마장동,세화**,축산물,마장동,2002-09-24,,0,마장동
B81D338DB6,마장동,대성**,축산물,마장동,2003-08-19,,1,마장동
8941E2A3A0,마장동,광*,축산물,마장동,2009-03-04,,0,마장동
D5CFCB32BA,마장동,희망**,축산물,마장동,2011-07-20,,0,마장동
319880C87E,마장동,한일**,축산물,마장동,2012-03-12,,0,마장동
A6277E8E47,마장동,세계**,축산물,마장동,2012-09-11,,0,마장동
57AEEDF72B,마장동,파리**********,베이커리,마장동,2011-01-12,,1,마장동
99730CC7C5,마장동,진*,요리주점,왕십리,2000-04-20,,0,마장동
1900B33A12,마장동,삼대**,한식-냉면,마장동,2008-10-08,,1,마장동
112C9E0C52,마장동,대구*,백반/가정식,마장동,2014-02-11,,0,마장동
87569153FF,마장동,원조***,한식-육류/고기,마장동,2005-02-01,,0,마장동
AC6B3827B8,마장동,훈희***,한식-육류/고기,마장동,2009-01-22,,0,마장동
8425C2D133,마장동,몽실******,한식-육류/고기,마장동,2011-05-06,,0,마장동
21C4BDD140,마장동,순대**,한식-국밥/설렁탕,마장동,2005-12-23,,0,마장동
11B0AA1C3B,마장동,동원**,한식-단품요리일반,왕십리,2001-10-22,,0,마장동
E6AE130DD5,마장로,마장*****,한식-육류/고기,왕십리,2011-11-09,,0,마장로
EE8D458B93,무학로,와이***********,축산물,왕십리,2012-11-09,,0,무학로
1F5C564B04,상원길,맛드*,반찬,뚝섬,2013-04-10,,0,상원길
69EE47A25B,상원길,피자********,피자,뚝섬,2012-12-31,,1,상원길
6E87D8EF74,상원길,담바*,한식-육류/고기,뚝섬,2014-03-18,,0,상원길
82F292A867,송정동,델리**,식료품,송정동,2009-09-04,,0,송정동
BDEBB09D4F,송정동,본토****,한식-육류/고기,송정동,2010-08-17,,0,송정동
9D085B6A2F,용답동,동부**,백반/가정식,장한평자동차,2011-03-29,,0,용답동
6D8F7BBA89,용답동,고향**,한식-단품요리일반,장한평자동차,2003-04-21,,0,용답동
5B646D947B,응봉동,풀무*********,식료품,응봉동,2012-06-08,,1,응봉동
875116B12A,응봉동,단아**,떡/한과 제조,응봉동,2007-04-17,,0,응봉동
21752D89FB,행당동,영*,건강식품,행당,2009-03-16,,0,행당동
80E637212D,행당동,에스******,커피전문점,행당,2011-08-08,,0,행당동
CEF3D93273,행당동,종로**,떡/한과 제조,행당,2006-10-26,,0,행당동
33361C935B,행당동,만두**,한식-국수/만두,행당,2010-11-12,,0,행당동
E1C897591D,행당동,코페*,한식-단품요리일반,한양대,2006-10-23,,0,행당동
1F7ECE7D49,행당동,아폴*********,한식-단품요리일반,왕십리,2011-01-05,,0,행당동
25D2E98F3A,행당동,무탁****,한식-단품요리일반,왕십리,2011-11-07,,0,행당동
66A39F4442,홍익동,정은****,한식-육류/고기,왕십리,2010-04-08,,0,홍익동
