가맹점구분번호,가맹점명,상권,가맹점주소,가맹점주소_세부,업종,프랜차이즈여부,개설일,폐업일,대분류,25년기준_운영개월수,영업기간_구간
16184E93D9,성우**,마장동,마장동,마장동,축산물,0,2013-03-20,,비외식소매,149,4. 장기/쇠퇴기
4D039EA8B7,대보**,마장동,마장동,마장동,축산물,0,2013-11-22,,비외식소매,141,4. 장기/쇠퇴기
0074C4990A,대용**,마장동,마장동,마장동,축산물,0,2014-05-12,,비외식소매,135,4. 장기/쇠퇴기
68308F2746,통일**,마장동,마장동,마장동,축산물,0,2015-11-24,,비외식소매,117,4. 장기/쇠퇴기
4117EDDE9C,한울**,마장동,마장동,마장동,축산물,0,2015-12-11,,비외식소매,116,4. 장기/쇠퇴기
281CA527F1,대광**,마장동,마장동,마장동,축산물,0,2017-02-22,,비외식소매,102,4. 장기/쇠퇴기
9A71D71270,미림**,마장동,마장동,마장동,식품 제조,0,2017-08-17,,기타,96,3. 성숙기
761947ABD9,호남*,마장동,마장동,마장동,한식-육류/고기,0,2013-05-31,,식사_그룹_1,147,4. 장기/쇠퇴기
145BA84596,고향***,한양대,사근동,사근동,한식-찌개/전골,0,2014-06-18,,식사_그룹_0,134,4. 장기/쇠퇴기
27C88660A5,북*,송정동,송정동,송정동,중식당,0,2014-12-17,,식사_그룹_0,128,4. 장기/쇠퇴기
BAACCE3A2C,좋은**,장한평자동차,용답동,용답동,식료품,0,2013-03-05,,비외식소매,149,4. 장기/쇠퇴기
BE3EAEA415,별난**,답십리,용답동,용답동,한식-국수/만두,0,2014-01-07,,식사_그룹_0,139,4. 장기/쇠퇴기
01AAD3CFFA,행당**,왕십리,행당동,행당동,식료품,0,2016-05-13,,비외식소매,111,4. 장기/쇠퇴기
C3E6D8B14F,이혜*******,행당,행당동,행당동,인삼제품,0,2013-12-16,,비외식소매,140,4. 장기/쇠퇴기
E606947836,정*,왕십리,홍익동,홍익동,중식당,0,2015-09-18,,식사_그룹_0,119,4. 장기/쇠퇴기
E863289A7D,조은**,왕십리,홍익동,홍익동,한식-단품요리일반,0,2015-01-16,,식사_그룹_0,127,4. 장기/쇠퇴기
B584924DB0,왕십****,왕십리,행당,행당1동,식품 제조,0,2014-08-28,,기타,132,4. 장기/쇠퇴기
2344622681,광한******,왕십리,도선동,도선동,한식-해물/생선,0,2011-05-02,,식사_그룹_1,171,4. 장기/쇠퇴기
3E35A71757,멕시*****,마장동,마장동,마장동,치킨,1,2005-08-30,,식사_그룹_0,240,4. 장기/쇠퇴기
5017C6924A,도미********,마장동,마장동,마장동,피자,1,2010-07-23,,식사_그룹_0,181,4. 장기/쇠퇴기
888828B4FB,현대**,마장동,마장동,마장동,식료품,0,2007-04-20,,비외식소매,220,4. 장기/쇠퇴기
06C463E9D9,청계**,마장동,마장동,마장동,식료품,0,2007-07-04,,비외식소매,217,4. 장기/쇠퇴기
5AEEA3B4EF,한양**,마장동,마장동,마장동,식료품,0,2010-10-08,,비외식소매,178,4. 장기/쇠퇴기
1400634946,한일**,마장동,마장동,마장동,중식당,0,2004-07-28,,식사_그룹_0,253,4. 장기/쇠퇴기
3E61C339E2,세화**,마장동,마장동,마장동,축산물,0,2002-09-24,,비외식소매,275,4. 장기/쇠퇴기
B81D338DB6,대성**,마장동,마장동,마장동,축산물,1,2003-08-19,,비외식소매,264,4. 장기/쇠퇴기
8941E2A3A0,광*,마장동,마장동,마장동,축산물,0,2009-03-04,,비외식소매,197,4. 장기/쇠퇴기
D5CFCB32BA,희망**,마장동,마장동,마장동,축산물,0,2011-07-20,,비외식소매,169,4. 장기/쇠퇴기
319880C87E,한일**,마장동,마장동,마장동,축산물,0,2012-03-12,,비외식소매,161,4. 장기/쇠퇴기
A6277E8E47,세계**,마장동,마장동,마장동,축산물,0,2012-09-11,,비외식소매,155,4. 장기/쇠퇴기
57AEEDF72B,파리**********,마장동,마장동,마장동,베이커리,1,2011-01-12,,카페/디저트,175,4. 장기/쇠퇴기
99730CC7C5,진*,왕십리,마장동,마장동,요리주점,0,2000-04-20,,주점/유흥,304,4. 장기/쇠퇴기
1900B33A12,삼대**,마장동,마장동,마장동,한식-냉면,1,2008-10-08,,식사_그룹_0,202,4. 장기/쇠퇴기
112C9E0C52,대구*,마장동,마장동,마장동,백반/가정식,0,2014-02-11,,기타,138,4. 장기/쇠퇴기
87569153FF,원조***,마장동,마장동,마장동,한식-육류/고기,0,2005-02-01,,식사_그룹_1,246,4. 장기/쇠퇴기
AC6B3827B8,훈희***,마장동,마장동,마장동,한식-육류/고기,0,2009-01-22,,식사_그룹_1,199,4. 장기/쇠퇴기
8425C2D133,몽실******,마장동,마장동,마장동,한식-육류/고기,0,2011-05-06,,식사_그룹_1,171,4. 장기/쇠퇴기
21C4BDD140,순대**,마장동,마장동,마장동,한식-국밥/설렁탕,0,2005-12-23,,식사_그룹_0,236,4. 장기/쇠퇴기
11B0AA1C3B,동원**,왕십리,마장동,마장동,한식-단품요리일반,0,2001-10-22,,식사_그룹_0,286,4. 장기/쇠퇴기
E6AE130DD5,마장*****,왕십리,마장로,마장로,한식-육류/고기,0,2011-11-09,,식사_그룹_1,165,4. 장기/쇠퇴기
EE8D458B93,와이***********,왕십리,무학로,무학로,축산물,0,2012-11-09,,비외식소매,153,4. 장기/쇠퇴기
1F5C564B04,맛드*,뚝섬,상원길,상원길,반찬,0,2013-04-10,,비외식소매,148,4. 장기/쇠퇴기
69EE47A25B,피자********,뚝섬,상원길,상원길,피자,1,2012-12-31,,식사_그룹_0,152,4. 장기/쇠퇴기
6E87D8EF74,담바*,뚝섬,상원길,상원길,한식-육류/고기,0,2014-03-18,,식사_그룹_1,137,4. 장기/쇠퇴기
82F292A867,델리**,송정동,송정동,송정동,식료품,0,2009-09-04,,비외식소매,191,4. 장기/쇠퇴기
BDEBB09D4F,본토****,송정동,송정동,송정동,한식-육류/고기,0,2010-08-17,,식사_그룹_1,180,4. 장기/쇠퇴기
9D085B6A2F,동부**,장한평자동차,용답동,용답동,백반/가정식,0,2011-03-29,,기타,173,4. 장기/쇠퇴기
6D8F7BBA89,고향**,장한평자동차,용답동,용답동,한식-단품요리일반,0,2003-04-21,,식사_그룹_0,268,4. 장기/쇠퇴기
5B646D947B,풀무*********,응봉동,응봉동,응봉동,식료품,1,2012-06-08,,비외식소매,158,4. 장기/쇠퇴기
875116B12A,단아**,응봉동,응봉동,응봉동,떡/한과 제조,0,2007-04-17,,비외식소매,220,4. 장기/쇠퇴기
21752D89FB,영*,행당,행당동,행당동,건강식품,0,2009-03-16,,비외식소매,197,4. 장기/쇠퇴기
80E637212D,에스******,행당,행당동,행당동,커피전문점,0,2011-08-08,,카페/디저트,168,4. 장기/쇠퇴기
CEF3D93273,종로**,행당,행당동,행당동,떡/한과 제조,0,2006-10-26,,비외식소매,226,4. 장기/쇠퇴기
33361C935B,만두**,행당,행당동,행당동,한식-국수/만두,0,2010-11-12,,식사_그룹_0,177,4. 장기/쇠퇴기
E1C897591D,코페*,한양대,행당동,행당동,한식-단품요리일반,0,2006-10-23,,식사_그룹_0,226,4. 장기/쇠퇴기
1F7ECE7D49,아폴*********,왕십리,행당동,행당동,한식-단품요리일반,0,2011-01-05,,식사_그룹_0,175,4. 장기/쇠퇴기
25D2E98F3A,무탁****,왕십리,행당동,행당동,한식-단품요리일반,0,2011-11-07,,식사_그룹_0,165,4. 장기/쇠퇴기
66A39F4442,정은****,왕십리,홍익동,홍익동,한식-육류/고기,0,2010-04-08,,식사_그룹_1,184,4. 장기/쇠퇴기
3E96264C22,맛나**,왕십리,홍익동,홍익동,한식-찌개/전골,0,2006-02-16,,식사_그룹_0,234,4. 장기/쇠퇴기
C1C06DF70A,설빙****,한양대,마조로,마조로 9,아이스크림/빙수,1,2014-06-23,,카페/디저트,134,4. 장기/쇠퇴기
8ABD74319E,70******,왕십리,무학로,무학로 8,룸살롱/단란주점,0,2015-11-16,,주점/유흥,117,4. 장기/쇠퇴기
8749D150F3,오가******,뚝섬,상원,상원6길,한식-해물/생선,0,2011-11-03,,식사_그룹_1,165,4. 장기/쇠퇴기
5BE883AA16,극동*****,옥수,옥수,옥수2동,축산물,0,1994-11-28,,비외식소매,369,4. 장기/쇠퇴기
94C8165F35,전주*******,옥수,옥수,옥수2동,백반/가정식,0,1998-12-07,,기타,320,4. 장기/쇠퇴기
ED815EC186,양지***,옥수,옥수,옥수2동,한식-육류/고기,0,2000-06-07,,식사_그룹_1,302,4. 장기/쇠퇴기
FBDA2A8798,장군**,옥수,옥수,옥수2동,한식-육류/고기,0,2002-11-09,,식사_그룹_1,273,4. 장기/쇠퇴기
147235F3A5,돈까*,옥수,옥수,옥수2동,일식-덮밥/돈가스,0,2007-03-14,,식사_그룹_2,221,4. 장기/쇠퇴기
167F268F8E,돔카*,왕십리,행당,행당1동,카페,0,2011-05-25,,카페/디저트,171,4. 장기/쇠퇴기
7C3795DF2D,한양***********,한양대,행당,행당1동,식료품,0,2009-03-11,,비외식소매,197,4. 장기/쇠퇴기
E9EB56D7EC,한양***,한양대,행당,행당1동,한식-육류/고기,0,2010-07-19,,식사_그룹_1,181,4. 장기/쇠퇴기
55B4F11C0E,김밥**,행당,행당,행당2동,분식,0,2010-10-11,,식사_그룹_2,178,4. 장기/쇠퇴기
C75AC23756,대림****,행당,행당,행당2동,축산물,0,2000-06-27,,비외식소매,302,4. 장기/쇠퇴기
4DEDE7CD03,닭한*****,신금호,금호동,금호동2가,한식-육류/고기,0,2004-11-02,,식사_그룹_1,249,4. 장기/쇠퇴기
8F1003CA95,귀일**,금남시장,금호동,금호동3가,분식,0,2016-03-15,,식사_그룹_2,113,4. 장기/쇠퇴기
04BACBFB49,해장***,금남시장,금호로,금호로 56,백반/가정식,0,2007-01-25,,기타,223,4. 장기/쇠퇴기
5946F40892,교촌******,금남시장,금호로,금호로 62,치킨,1,2013-03-25,,식사_그룹_0,149,4. 장기/쇠퇴기
17FF425166,광주**,금남시장,금호로,금호로 66,한식-해물/생선,0,2002-07-08,,식사_그룹_1,277,4. 장기/쇠퇴기
AB0716250B,와규**,동일로,동일로,동일로 83,한식-육류/고기,0,2008-05-15,,식사_그룹_1,207,4. 장기/쇠퇴기
